----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
          Conv2d-376           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-377           [-1, 1056, 8, 8]           2,112
            SiLU-378           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-379           [-1, 1056, 1, 1]               0
          Conv2d-380             [-1, 44, 1, 1]          46,508
            SiLU-381             [-1, 44, 1, 1]               0
          Conv2d-382           [-1, 1056, 1, 1]          47,520
         Sigmoid-383           [-1, 1056, 1, 1]               0
SqueezeExcitation-384           [-1, 1056, 8, 8]               0
          Conv2d-385            [-1, 176, 8, 8]         185,856
     BatchNorm2d-386            [-1, 176, 8, 8]             352
 StochasticDepth-387            [-1, 176, 8, 8]               0
          MBConv-388            [-1, 176, 8, 8]               0
          Conv2d-389           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-390           [-1, 1056, 8, 8]           2,112
            SiLU-391           [-1, 1056, 8, 8]               0
          Conv2d-392           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-393           [-1, 1056, 8, 8]           2,112
            SiLU-394           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-395           [-1, 1056, 1, 1]               0
          Conv2d-396             [-1, 44, 1, 1]          46,508
            SiLU-397             [-1, 44, 1, 1]               0
          Conv2d-398           [-1, 1056, 1, 1]          47,520
         Sigmoid-399           [-1, 1056, 1, 1]               0
SqueezeExcitation-400           [-1, 1056, 8, 8]               0
          Conv2d-401            [-1, 176, 8, 8]         185,856
     BatchNorm2d-402            [-1, 176, 8, 8]             352
 StochasticDepth-403            [-1, 176, 8, 8]               0
          MBConv-404            [-1, 176, 8, 8]               0
          Conv2d-405           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-406           [-1, 1056, 8, 8]           2,112
            SiLU-407           [-1, 1056, 8, 8]               0
          Conv2d-408           [-1, 1056, 8, 8]           9,504
     BatchNorm2d-409           [-1, 1056, 8, 8]           2,112
            SiLU-410           [-1, 1056, 8, 8]               0
AdaptiveAvgPool2d-411           [-1, 1056, 1, 1]               0
          Conv2d-412             [-1, 44, 1, 1]          46,508
            SiLU-413             [-1, 44, 1, 1]               0
          Conv2d-414           [-1, 1056, 1, 1]          47,520
         Sigmoid-415           [-1, 1056, 1, 1]               0
SqueezeExcitation-416           [-1, 1056, 8, 8]               0
          Conv2d-417            [-1, 176, 8, 8]         185,856
     BatchNorm2d-418            [-1, 176, 8, 8]             352
 StochasticDepth-419            [-1, 176, 8, 8]               0
          MBConv-420            [-1, 176, 8, 8]               0
          Conv2d-421           [-1, 1056, 8, 8]         185,856
     BatchNorm2d-422           [-1, 1056, 8, 8]           2,112
            SiLU-423           [-1, 1056, 8, 8]               0
          Conv2d-424           [-1, 1056, 4, 4]           9,504
     BatchNorm2d-425           [-1, 1056, 4, 4]           2,112
            SiLU-426           [-1, 1056, 4, 4]               0
AdaptiveAvgPool2d-427           [-1, 1056, 1, 1]               0
          Conv2d-428             [-1, 44, 1, 1]          46,508
